Id,date,boil_current_level
415,1423282565.15133,1225.0
416,1423282565.53556,1223.0
417,1423282566.4732,1225.0
418,1423282567.03234,1226.0
419,1423282567.69665,1228.0
420,1423282568.26026,1224.0
421,1423282568.92372,1226.0
422,1423282569.48874,1222.0
423,1423282569.62445,1224.0
424,1423282569.76064,1225.0
425,1423282570.08113,1225.0
426,1423282570.91584,1226.0
427,1423282571.52083,1228.0
428,1423282572.08427,1224.0
429,1423282572.64849,1224.0
430,1423282573.31181,1226.0
431,1423282573.77637,1227.0
432,1423282573.91213,1224.0
433,1423282574.18492,1225.0
434,1423282575.34573,1226.0
435,1423282576.01171,1225.0
436,1423282576.77587,1225.0
437,1423282577.54021,1226.0
438,1423282578.10603,1224.0
439,1423282578.77075,1226.0
440,1423282579.33568,1222.0
441,1423282579.47211,1227.0
442,1423282579.60838,1224.0
443,1423282579.73865,1224.0
444,1423282579.87385,1226.0
445,1423282580.17766,1225.0
446,1423282580.7671,1223.0
447,1423283877.58392,1224.0
448,1423283877.76276,1224.0
449,1423283877.89925,1224.0
450,1423283878.03716,1226.0
451,1423283878.24153,1226.0
452,1423283878.75076,1228.0
453,1423283879.25084,1224.0
454,1423283879.88312,1225.0
455,1423283880.31576,1222.0
456,1423283880.76847,1227.0
457,1423283881.27214,1226.0
458,1423283882.91693,1226.0
459,1423283883.0919,1223.0
460,1423283883.23675,1227.0
461,1423283883.37718,1224.0
462,1423283883.87386,1228.0
463,1423283884.32074,1224.0
464,1423283884.84198,1224.0
465,1423283885.34826,1226.0
466,1423283886.24927,1226.0
467,1423283886.42183,1224.0
468,1423283886.83053,1225.0
469,1423283887.33127,1223.0
470,1423283887.91667,1226.0
471,1423283888.34591,1222.0
472,1423283888.84898,1227.0
473,1423283889.35882,1224.0
474,1423283889.85976,1225.0
475,1423283890.36469,1225.0
476,1423283890.86693,1226.0
477,1423283891.42723,1224.0
478,1423283893.00825,1225.0
479,1423283893.15123,1226.0
480,1423283893.31923,1227.0
481,1423283893.45598,1222.0
482,1423283893.89868,1224.0
483,1423283894.43979,1226.0
484,1423283894.90924,1225.0
485,1423283895.47056,1225.0
486,1423283896.35588,1226.0
487,1423283896.49186,1224.0
488,1423283897.00974,1228.0
489,1423283897.43688,1224.0
490,1423283897.94322,1224.0
491,1423283898.50022,1222.0
492,1423283898.94959,1224.0
493,1423283899.45754,1225.0
494,1423283899.96077,1225.0
495,1423283900.45758,1224.0
496,1423283900.97163,1228.0
497,1423283901.46861,1226.0
498,1423283901.99436,1228.0
499,1423283902.53664,1224.0
500,1423283902.9894,1224.0
501,1423283903.49766,1225.0
502,1423283903.99948,1224.0
503,1423283904.52908,1223.0
504,1423283906.03952,1225.0
505,1423283906.18929,1223.0
506,1423283906.36608,1227.0
507,1423283906.53485,1224.0
508,1423283907.03799,1224.0
509,1423283907.53819,1223.0
510,1423283908.05907,1224.0
511,1423283908.54946,1226.0
512,1423283909.97994,1226.0
513,1423283910.16217,1224.0
514,1423283910.29977,1227.0
515,1423283910.58573,1224.0
516,1423283911.26685,1226.0
517,1423283911.57822,1224.0
518,1423283912.13641,1225.0
519,1423283913.81908,1223.0
520,1423283913.97264,1224.0
521,1423283914.11231,1225.0
522,1423283914.25115,1226.0
523,1423283914.61729,1224.0
524,1423283915.19129,1228.0
525,1423283915.62111,1224.0
526,1423283916.12841,1225.0
527,1423283917.35648,1224.0
528,1423283917.49703,1224.0
529,1423283917.64199,1226.0
530,1423283918.14162,1226.0
531,1423283918.64761,1223.0
532,1423283919.23134,1224.0
533,1423283919.65975,1226.0
534,1423283920.8925,1227.0
535,1423283921.03474,1224.0
536,1423283921.17525,1225.0
537,1423283921.68459,1224.0
538,1423283922.18301,1226.0
539,1423283922.74177,1225.0
540,1423283923.19525,1226.0
541,1423283923.74071,1224.0
542,1423283924.20307,1226.0
543,1423283924.70887,1225.0
544,1423283925.21337,1225.0
545,1423283925.73884,1224.0
546,1423283926.21854,1225.0
547,1423283926.81163,1226.0
548,1423283927.31172,1225.0
549,1423283927.75798,1222.0
550,1423283928.243,1224.0
551,1423283928.77038,1223.0
552,1423283929.28711,1226.0
553,1423283929.77268,1225.0
554,1423283931.39441,1226.0
555,1423283931.53887,1226.0
556,1423283931.90236,1225.0
557,1423283932.04221,1224.0
558,1423283932.27875,1228.0
559,1423283932.80681,1226.0
560,1423283933.29437,1228.0
561,1423283933.80183,1224.0
562,1423283935.12822,1225.0
563,1423283935.49701,1222.0
564,1423283935.76748,1224.0
565,1423283936.04162,1228.0
566,1423283936.46255,1225.0
567,1423283937.00996,1224.0
568,1423283937.47163,1224.0
569,1423283937.83819,1226.0
570,1423283938.41522,1227.0
571,1423283938.98821,1222.0
572,1423283939.49284,1225.0
573,1423283939.86953,1226.0
574,1423283940.36708,1225.0
575,1423283940.87393,1224.0
576,1423283941.37892,1226.0
577,1423283941.90527,1226.0
578,1423283942.38713,1228.0
579,1423283942.89206,1224.0
580,1423283943.39662,1224.0
581,1423283943.90123,1222.0
582,1423283946.33873,1227.0
583,1423283946.51974,1226.0
584,1423283946.66925,1226.0
585,1423283946.81148,1223.0
586,1423283946.95205,1227.0
587,1423283947.08807,1224.0
588,1423283947.43666,1228.0
589,1423283947.94226,1224.0
590,1423283948.44875,1225.0
591,1423283948.95322,1225.0
592,1423283949.66358,1225.0
593,1423283949.96219,1223.0
594,1423283950.4856,1225.0
595,1423283950.96567,1223.0
596,1423283951.53727,1226.0
597,1423283951.97706,1222.0
598,1423283952.5664,1227.0
599,1423283952.99395,1224.0
600,1423283953.49793,1224.0
601,1423283954.01306,1226.0
602,1423283954.51626,1225.0
603,1423283955.4431,1224.0
604,1423283955.57626,1226.0
605,1423283956.10372,1223.0
606,1423283956.53024,1226.0
607,1423283957.03364,1222.0
608,1423283957.53708,1225.0
609,1423283958.04458,1226.0
610,1423283958.54728,1225.0
611,1423283959.05428,1224.0
612,1423283959.63529,1226.0
613,1423283960.06405,1224.0
614,1423283960.64942,1226.0
615,1423283961.07652,1224.0
616,1423283961.58423,1227.0
617,1423283962.08363,1224.0
618,1423283962.58991,1225.0
619,1423283963.11266,1224.0
620,1423283963.6003,1225.0
621,1423283965.33631,1223.0
622,1423283965.47708,1224.0
623,1423283965.6107,1226.0
624,1423283965.7452,1228.0
625,1423283966.12539,1224.0
626,1423283966.63362,1224.0
627,1423283967.13421,1225.0
628,1423283968.47115,1225.0
629,1423283968.61007,1223.0
630,1423283968.74465,1225.0
631,1423283969.1568,1223.0
632,1423283969.66283,1227.0
633,1423402217.33554,1
634,1423402217.65518,1180.0
635,1423402219.00837,1180.0
636,1423402219.15388,1178.0
637,1423402219.29156,1178.0
638,1423402219.65492,1181.0
639,1423402220.18588,1181.0
640,1423402220.66481,1178.0
641,1423402221.19049,1178.0
642,1423402221.68105,1180.0
643,1423402222.20517,1181.0
644,1423402222.69165,1179.0
645,1423402223.21788,1178.0
646,1423402223.70561,1182.0
647,1423402224.21161,1182.0
648,1423402224.76426,1181.0
649,1423402225.21546,1180.0
650,1423402225.71655,1181.0
651,1423402226.22626,1180.0
652,1423402226.73709,1180.0
653,1423402227.22789,1178.0
654,1423402229.06844,1181.0
655,1423402229.23493,1179.0
656,1423402229.3649,1179.0
657,1423402229.49386,1179.0
658,1423402229.76552,1182.0
659,1423402230.27015,1181.0
660,1423402230.77445,1179.0
661,1423402231.28954,1180.0
662,1423402232.61862,1181.0
663,1423402232.81055,1224.0
664,1423402232.94698,1178.0
665,1423402233.30389,1220.0
666,1423402233.80825,1178.0
667,1423402234.30549,1216.0
668,1423402234.82754,1178.0
669,1423402236.48193,1180.0
670,1423402236.65742,1178.0
671,1423402236.83959,1178.0
672,1423402237.03043,1178.0
673,1423402237.48311,1180.0
674,1423402237.88289,1178.0
675,1423402238.39839,1178.0
676,1423402238.85807,1178.0
677,1423402240.09314,1180.0
678,1423402240.23367,1178.0
679,1423402240.40627,1180.0
680,1423402240.8783,1179.0
681,1423402242.30627,1181.0
682,1423402242.44462,1178.0
683,1423402242.60339,1179.0
684,1423402242.88857,1178.0
685,1423402243.39499,1181.0
686,1423402243.90148,1178.0
687,1423402244.40232,1179.0
688,1423402244.90881,1179.0
689,1423402245.64301,1181.0
690,1423402245.95498,1178.0
691,1423402246.42467,1178.0
692,1423402246.93204,1179.0
693,1423402247.47037,1180.0
694,1423402247.93783,1178.0
695,1423402248.44379,1179.0
696,1423402248.94819,1178.0
697,1423402249.45206,1180.0
698,1423402249.96259,1178.0
699,1423402250.46558,1179.0
700,1423402251.0225,1178.0
701,1423402251.47783,1182.0
702,1423402252.40976,1178.0
703,1423402252.55164,1178.0
704,1423402252.99845,1178.0
705,1423402253.50267,1181.0
706,1423402253.99709,1178.0
707,1423402254.50098,1178.0
708,1423402255.05745,1178.0
709,1423402255.54433,1181.0
710,1423402256.02014,1178.0
711,1423402256.57931,1179.0
712,1423402257.03093,1179.0
713,1423402257.53251,1180.0
714,1423402258.03724,1178.0
715,1423402258.54105,1179.0
716,1423402259.04518,1179.0
717,1423402259.55187,1181.0
718,1423402261.18459,1178.0
719,1423402261.32129,1178.0
720,1423402261.46209,1178.0
721,1423402261.60095,1182.0
722,1423402262.08511,1178.0
723,1423402262.58201,1178.0
724,1423402263.14322,1178.0
725,1423402263.65849,1181.0
726,1423402264.09502,1180.0
727,1423402264.6012,1181.0
728,1423402265.10666,1179.0
729,1423402265.61115,1181.0
730,1423402266.12863,1178.0
731,1423402266.63823,1179.0
732,1423402267.12409,1178.0
733,1423402267.66302,1181.0
734,1423402268.13468,1178.0
735,1423402269.17383,1182.0
736,1423402269.32408,1179.0
737,1423402269.71223,1180.0
738,1423402270.1594,1178.0
739,1423402270.69264,1179.0
740,1423402271.16855,1179.0
741,1423402271.703,1180.0
742,1423402272.17489,1178.0
743,1423402272.72105,1179.0
744,1423402273.18321,1179.0
745,1423402273.69228,1180.0
746,1423402274.19274,1178.0
747,1423402274.69879,1178.0
748,1423402275.20432,1179.0
749,1423402275.70919,1181.0
750,1423402276.22071,1178.0
751,1423402276.72053,1178.0
752,1423402277.24225,1179.0
753,1423402277.72921,1181.0
754,1423402278.23302,1178.0
755,1423402278.82768,1178.0
756,1423402279.24268,1179.0
